phrase,cluster_label
commerce sector continues,0
relations strengthen augments instead,0
operational success ai,0
having potential significant economic,0
successful ai services,0
agent demand shorter takeover times,0
condition complied takeover request tor,0
agents delivering information different,0
vehicle agents,0
automation collaboration especially,0
bias agreeing automation,0
strategic options,0
advised best,0
research limitations implications review,0
risks automation misuse disuse,0
important societal issues individual societal,0
agent isa,0
intelligent software agent,0
modern institutions deep,0
control theory game theory,0
creating automation,0
automation systems,0
automation interaction autonomous,0
agenda psychometric modeling eye,0
strategy switching,0
eye movements,0
advances psychometric econometric,0
moderate relationship choice decision effectiveness,0
using scopus,0
enable information advantage truly,0
autonomous technology needs tended,0
manipulators avs,0
improve work design daily business,0
communication styles service,0
increasingly utilized,0
2019 ifac,0
hosting elsevier,0
stages takeover strategies key,0
francis group,0
agents widely,0
agents benefit steering,0
video games news recommendation,0
communication approach relies user information,0
language processing induce users deem,0
depending perceived agent task fit,0
economics need interdisciplinary,0
oversight ai systems tasked deployed,0
relation theory,0
agents integrated social,0
building accurate models cognitive behavioural,0
agent facial bodily expressions,0
angry robot induce,0
psychological construct model internal mental,0
utility levels automation,0
automation loa,0
reliable agent contributing overall team,0
agent teams time pressured continuous,0
alternatively agent,0
approaches incorporating physiological data,0
school business,0
robot human group completed,0
agency attribution,0
nonhuman agents induce,0
relationship voice capabilities artifact users,0
recommendation aggregation engines,0
popularity virtual conversational,0
agents vcas,0
rate avs,0
provide suitable recommendations,0
wearables factories,0
agents personality effect personality different,0
thai communication modality,0
ease use reliability significant factors,0
conversational agents ca,0
giving way communication helps people,0
nature economic wealth creation,0
democratic societies fundamental change,0
levels information disclosure,0
effective aid,0
francis group,0
automated insulin delivery,0
automated information,0
robots work advanced,0
empirical study conducted,0
squares structural,0
perceived usefulness,0
organisations adopt anticipatory strategies,0
qualitative data,0
churned themes qualitative,0
robots divided datasets participated,0
robot behaviors,0
diagram formation assistance hamie robot,0
robot offers varying levels information,0
institute new,0
emphasizing study contributions implications limitations,0
public concerns regulating,0
ai technologies implementing responsible guidelines,0
emotional societal impacts developing,0
francis group,0
engagement robotic,0
study enhances understanding human robot,0
impact willingness interact robots,0
models taxonomies human automation,0
valuethis study seeks understand,0
values triggered promoting,0
beliefs reduced,0
responsibility agents lack time,0
participants collaborated automated agents varying,0
automated aids,0
great value,0
offer great,0
designing automation mimic basic human,0
robots increasingly present,0
uncanny valley theory,0
enhancing purchase intention,0
themes qualitative,0
automation conundrum,0
advancement benefited data,0
using middle,0
shape successful adoption ai decision,0
avs varying levels reliability,0
ai adoption advocating,0
critical humanization automation,0
technology fit perceived leadership,0
observers know human agent theoretically,0
user conversations theory relates user,0
business indiana,0
standard deviation,0
agents collaborative human,0
perform trade study,0
automation success engenders,0
varying automation,0
recognition received recommendation automated,0
fourth industrial revolution witnessing fast,0
moment interaction automation,0
external station,0
eye movement results indicated compensatory,0
autonomous agent factor,0
francis group,0
differences model empirically test formulated,0
computer agents,0
experiment neurophysiological measurements used investigate,0
agents affective processes,0
critical smart service,0
offers picture,0
draws cognitive appraisal theory,0
assess ai suitability task,0
mediating role attribution,0
relationships showed differences male,0
francis group,0
involving teleoperation,0
usefulness plays mediating role,0
agent decision process mitigate misperceptions,0
purchase intention,0
squares structural,0
perspectives regarding human automation,0
robot interaction hri particularly,0
robots influence expectations acceptance emerging,0
participants equipped eye tracker,0
like intelligent robots,0
av systems promote effective human,0
remotely controlled robotic arm,0
expand understanding av explanation,0
commons attribution,0
faults automation conditions,0
predict effects different automation,0
societal ramifications exemplified challenges,0
point actors business reverse engineering,0
adoption human like intelligent,0
human robot interaction human experiment,0
loop modeling based,0
organizations automate knowledge,0
provide accurate mental model,0
agents interaction including explainable artificial,0
francis group,0
attitude robots robot usage,0
learning task subjective usability,0
suggests judgments robot,0
robot responsibility hinge perceived,0
automation evolved,0
using simulated autonomous,0
francis group,0
monetary value,0
empirically investigate compliance,0
game used,0
xai recommender systems,0
adoption future ai,0
adoption ai,0
automation 47 reduces,0
user needs collaborate agent having,0
perceived usefulness performance,0
francis group,0
application conversational agents,0
robot lower experience vs,0
relates perceived ease use credence,0
social information processing theory,0
human employees online shopping remains,0
conceptual model,0
ai services,0
automation technology,0
responsible decisions ai discuss,0
implications suggested practitioners improve,0
distinction disembodied conversational,0
robots disembodied,0
perceived utility,0
application conversational agents,0
implications suggested practitioners improve,0
distinction disembodied conversational,0
robots disembodied,0
providing users advice working,0
expectations affect perceived value,0
systematic synthesis limiting understanding user,0
infiltrate industries decade,0
automation irreversible instantaneous,0
provides predictors avs acceptance,0
ease use shown,0
employed stimulus organism response,0
exists robots,0
limitations implications findings study,0
inductive deductive need employed strengthen,0
human robot work,0
study limited shopping,0
emerging market retail,0
theory help retailers understand,0
actions attribute blame robot,0
odds collective profit robot advance,0
participants played tit tat strategy,0
cooperate robot,0
using prisoner dilemma games manipulating,0
robots increasingly important machines,0
francis group,0
computerized agents,0
francis group,0
partner inner,0
include example skillful eye scan,0
francis group,0
clausewitzian notion military,0
levels warfare strategic,0
inform strategic decisions,0
ease use perceived,0
empirical validation model partial squares,0
partial squares structural equation,0
knowledge application perceived,0
empathy suitable interactive conversational agents,0
university students examined lens structural,0
francis group,0
alleviated positively influencing ai adoption,0
colleague produces lower,0
understanding agents,0
awareness automation currently handling,0
colleague produces lower,0
robots owing certain fears example,0
collaborative robots,0
partial squares structural equation,0
francis group,0
collaborative robots,0
era rapidly,0
network externalities present conceptual,0
technology fit network,0
adoption ai,0
avoid uncanny valley effect,0
agents respond slower users,0
analysing user utterance,0
experiment 496 adults conversation,0
identity disclosure willingness donate,0
automation bias societal,0
bias job automation,0
uncertain hypotheses,0
robots organisations,0
robot perceived,0
utility dialogue,0
insight making strategic decision,0
relationship intention adopt ai banking,0
perceived usefulness knowledge artificial,0
founded theories task technology,0
indicate specific eye,0
cognitive models,0
psycho physiological observables,0
empirical results based,0
users support conceptualization,0
adoption resistance robots,0
ai service encounters factors,0
frontline service automation,0
ai services,0
hypothesis tested using,0
automated systems tends,0
echo questions,0
explores reasons adoption ai,0
agents collected firm recently integrated,0
takeover automation,0
relevance design,0
agent affects,0
av vs,0
type service,0
av vis vis human agent,0
paper human unconscious processes,0
agency suggests,0
automation exacerbates erosion human skill,0
policy human robot interaction,0
learning rl agents,0
analyses estimates regarding barriers automation,0
francis group,0
predicting automation,0
automated warehouses,0
automated systems bainbridge described,0
robotized systems humans,0
perceived value,0
ai service,0
communicating limitations avoid mental,0
better automation,0
results supervision reminders effectively maintained,0
role ai banking applications confirmed,0
squares pls,0
implications limitations,0
human robot interaction phenomenon emerging,0
field combined uncanny,0
variety industrial,0
automation social,0
agents surveys 200 employees,0
germany springer nature,0
consumers intention purchase grows significantly,0
demand instances gaze behavior shows,0
grounded agent decision making architecture,0
use eye,0
human robot interaction,0
human automation interaction including intended,0
automation interaction concerned,0
human like non human agent,0
agent higher intention empower,0
distributed terms creative commons attribution,0
strategies identified coax people use,0
cus tomers willingness interact ai,0
addressing issues formalised affordance,0
industrial revolution,0
robots aims,0
fourth industrial revolution,0
argued interdisciplinary,0
conceptualizations especially regard work,0
quantitative evidence trends numerous,0
fourth industrial revolution associated,0
depending level automation,0
share robot control,0
urgently required establish design automation,0
shifts characterized automation,0
centric design task automation,0
integrates diverse disciplinary,0
shifts characterized automation,0
piece automation designed affect dimension,0
term strategic success aiding skill,0
modified turing,0
agents employ maximum entropy inverse,0
virtual clothing store,0
mechanism schema activation allow,0
goal orientation,0
intelligent agent,0
quantitative empirical,0
passage turing test best,0
automation considering secondary factors,0
supervised automation partially,0
automated agents fa methods currently,0
integrates diverse disciplinary,0
work psychology neuroscience economics,0
centric design task automation,0
hosting elsevier,0
agents aas capable,0
encountered different technological failures automation,0
routine communication strategies adapt,0
economics evident tests simple linear,0
psychological features weber fechner,0
fechner law economics,0
information enable operators infer,0
automation algorithm,0
shown costs imperfect automation detrimental,0
game theory,0
theory data,0
predictive analytics grounded,0
distinct empirical studies,0
newsvendor game proposes,0
industrial setting competing,0
economic value,0
2015 ifac,0
human automation interaction,0
emerge noisy accumulation evidence,0
current approaches multiagent,0
movements neural recordings contain,0
contains reports ai human robot,0
people computer agents,0
settings agents reason,0
high performance ai infrastructure crucial,0
used stage approach,0
using hyperbolic discounting samples,0
empirical studies involving,0
increasingly embracing,0
behavioral economics psychological models,0
agent able outperform alternative,0
using size fits model,0
general methodology agent design repeated,0
statements automation reliability,0
perceptions use automation,0
cognitive models potential,0
francis group,0
undergo automation near future calling,0
robot interaction cognitive assistance government,0
making intelligent agents symposia held,0
contribution empirical study fading,0
management published wiley periodicals llc,0
language agent,0
involvement interaction hybrid service,0
human oriented communication,0
question disclose involvement,0
service agents,0
addressing ai service,0
society research,0
level automation loa,0
intelligence ai service,0
themes meanings data allowing,0
technologies fear job displacement automation,0
agenda stimulate future,0
recently multi agent,0
francis group,0
strategy game,0
robotics artificial,0
automation interaction hai operations,0
product development,0
thematic analysis examine,0
valuethe primary contribution study enrich,0
production context build comprehensive view,0
francis group,0
information communication,0
essential strategic,0
strategic element industries,0
automation interaction,0
received descriptions crews interacting,0
changes automated systems small,0
robots emerging,0
agent assistance surpasses,0
francis group,0
interpretation turing,0
gaais good,0
communications instruct,0
disciplines intradisciplinary,0
referred automation,0
francis group,0
perceived usefulness knowledge management,0
employing partial squares structural equation,0
practitioners exploring ways incorporate,0
robots underlying psychological processes,0
role determining adoption intention ai,0
sensitivity changes automation manual performance,0
social interactive agents concerns,0
trading psychological,0
hypotheses regarding direct indirect relationships,0
relationships variables tested,0
adoption ai advisors,0
automated map,0
context physical retail stores,0
automates radiologist,0
adoption intentions related ai,0
experiment humans repeatedly play games,0
play various,0
agents robots,0
learning analysis identifies proprioceptive physiological,0
attachment users learning predict,0
strong belief giving agent,0
fit mediates,0
robot designed provide hedonic,0
use automation,0
recommender predicts,0
long lasting,0
wires cogn,0
francis group,0
introduction perceived partner,0
matching game,0
close vs,0
subordinate proxemic,0
interactions subordinate robot resulted,0
positive user experience robot close,0
consistency status proxemic behaviors robot,0
alongside robots raises concerns employees,0
implementing collaborative robots,0
computer agents improves,0
eye tracking quantitative,0
qualitative performance subjective experiences monitored,0
collaborative robot reliable unreliable,0
art agents literature,0
automation like surveys drastically limit,0
human robot,0
intelligent agents,0
humanlike robot,0
develop guidelines robot,0
lens understand human robot relationships,0
behavioral economics promising source theory,0
evaluation ai recommendation,0
agent interaction retention human decision,0
greater concerns,0
human supervision multiple robots,0
number approaches flexible automation autonomous,0
various interdisciplinary pathways advance,0
social aspects human agent interactions,0
agents indispensable work environments,0
ai enabled service crucial,0
intelligent autonomous agents,0
fitts list pervasive factor function,0
ironies automation,0
fitts report represents unprecedented,0
attributions ii nearest neighbor,0
grad cam attributions ii,0
advance strategic agenthood,0
psychology human robot,0
discuss anomalous misattributions strategic,0
seminal fitts list spans,0
apps turn increases perceived usefulness,0
control rely advanced automation,0
ehmi messages facilitate,0
robot utilizes artificial,0
showed operators adapted automation,0
highly automated,0
2016 ifac,0
control hosting elsevier,0
automation order fly,0
online grocery shopping ogs using,0
knowledge pilots perceptions attitudes,0
users attribution responsibility service failures,0
service failures using ai,0
research directions including mitigating language,0
non human technical agents,0
automation perceived change competencies,0
education business public health,0
virtual conversational,0
camera eye,0
improve human automation,0
validated using partial squares structural,0
negative beliefs worldviews agents,0
current literature developed conceptual model,0
crm strategic,0
francis group,0
francis group,0
enhances users sense agency positively,0
technology fit illustrated using empirical,0
classic concept task technology fit,0
automation interaction issues interacting,0
automation negatively impact people,0
levels automation influence,0
traditional human driven model avs,0
cra aid respectively,0
automation did increase,0
aid manifest imperfectly,0
potential facilitating strategic decision making,0
software tools autonomous,0
sustainable human automation,0
automation collaboration need develop,0
benefit automation sensitive,0
relationship management,0
background operators interact automated decision,0
automation aided performance levels predictions,0
uncanny sense,0
robots constitute excitement,0
assess human robot interaction,0
traditional retail services,0
ai service complementing,0
shows knowledge perceived,0
usefulness factors,0
produce services,0
issues adopting stringent ai,0
applied partial squares structural equation,0
direct relationships,0
examined extent automation designed benefit,0
growing interdisciplinary narrative asserts,0
economic rationality,0
disengaged participants required adaptable automation,0
broadened future ai related banking,0
automation led,0
limitations implications specificity indian,0
transition automated,0
automated service,0
manual performance automation fails,0
degree automation,0
right wrong reasons robots,0
similar aid provided,0
autonomous artificial agents antithetical concept,0
model comparisons identified potential strategies,0
pivotal force modern business transformation,0
worldwide increased use automation,0
relationship oriented subjects,0
increased use,0
incorporate qualitative,0
verlag london,0
