phrase,cluster_label
commerce sector continues,0
programs solve problems reproduce mental,0
robot occupied significant position,0
user conversations theory relates user,0
enhancing purchase intention,0
uncanny valley theory,0
marketers benefit,0
utility values productions updated,0
recent research connected cultural,0
adoption imply culturallydriven psychological,0
food parcel delivery,0
adaptation process automation,0
cognitive model simulates,0
automation time,0
robots increasingly present,0
managers users,0
robotic research develop advanced programs,0
propositions organizations,0
possibilities machine ethics just human,0
driven innovation,0
efficiency promoting positive workforce outcomes,0
ai adoption advocating,0
remote work environments emphasizing,0
barrier adoption innovative financial,0
technologies fintech,0
avs varying levels reliability,0
controversial stocks investment portfolios,0
optimising functional performance organisations,0
shape successful adoption ai decision,0
machines competent morality,0
investment managers algorithms robos,0
people prefer investment,0
using middle,0
east context,0
purposive sample employees non adopters,0
advancement benefited data,0
usefulness 25,0
ease use,0
human robot interaction human experiment,0
ultimately influenced perceptions hotel,0
grey marketers unique power,0
issues adopting stringent ai,0
magic utopian white magic,0
managers practitioners,0
utopia marketers stake finding,0
produce services,0
employees increasingly,0
employee outcomes ci features relate,0
parametric goal oriented mission capable,0
required operator inputs,0
perceived service,0
features surprisingly engagement,0
dhs access personalised service,0
lead consumers develop relationships dhs,0
applied partial squares structural equation,0
antecedents customers willingness objection,0
efficiency coding efficiency,0
aidua framework hospitality service,0
share robot control,0
held owner,0
questionnaires analysed using pls,0
apps turn increases perceived usefulness,0
technology used starting points,0
broadened future ai related banking,0
technologies used result lower,0
technology fit perceived leadership,0
planning implement new technologies,0
economic rationality,0
context dependence integral,0
recommendations provided,0
managerial implications,0
context computational,0
hotel customers rely social groups,0
intelligent devices influenced social,0
traditionally considered canonical violations,0
ai service complementing,0
challenges behavior,0
performance employee,0
service provider henceforth used making,0
study explores intricacies adopting,0
key feature,0
technology shaping lives individuals,0
century brought interesting challenges,0
marketing practitioners,0
sample hotel customers,0
chatgpt sparked,0
potential technology garnered widespread,0
services offered service organisations customers,0
intelligence ai commercial service,0
examining influence customer engagement,0
managerial implications domain,0
innovativeness optimism,0
perceived ease perceived usefulness,0
francis group,0
societal impacts developing deploying advanced,0
engagement robotic,0
study enhances understanding human robot,0
assistive technology featuring,0
robots parasitic deeply,0
answered respect central notions cultural,0
carried serving,0
believe need better,0
serving distinct,0
social signals human,0
develop potential partner sensitive,0
cultural psychology add questions research,0
themes qualitative,0
factors driving adoption affects,0
present integrated teaching environment ite,0
human loop takes role teacher,0
teaching imt,0
impact willingness interact robots,0
valuable designing marketing strategies service,0
ai technologies implementing responsible guidelines,0
ai context specific constructs perceived,0
readiness acceptance model,0
higher individuals tasked depending protect,0
various leadership capacities associated,0
churned themes qualitative,0
qualitative data,0
chain increasing productivity complementing human,0
organisations adopt anticipatory strategies,0
organisation identifying futuristic,0
learning organisation,0
valuethis study seeks understand,0
workplaces practices look like remain,0
help organisations employees understand future,0
responsibility agents lack time,0
observers know human agent theoretically,0
work transforming,0
accelerated shift remote work,0
time hear,0
transformations work practices,0
technologies seeing remarkable,0
robots divided datasets participated,0
public concerns regulating,0
scrutinize antecedents consumers intention shop,0
