phrase,cluster_label
participants completed range scales,0
duty derived,0
explainability problem,0
lack transparency,0
combat theory principles operational success,0
neuroscience theory supply demand,0
machine interaction hmi score notation,0
process mapping pm,0
optimise various aspects operations workplace,0
joint socio technical systems,0
process control temporal developments,0
approaches centered western values perceptions,0
automated agents,0
autonomous automated manual control,0
simulation model quantifies predicts workers,0
difficult interpret,0
systems dynamics approach management,0
transparency reduced uncertainty enhanced,0
research endeavour contributes advancing,0
machine interfaces ehmis,0
explanations task,0
fake news,0
avs equipped novel external human,0
episodes interaction human operators,0
religious workers journalists representative sample,0
participants 20 countries total 10,0
paper try argument limitations human,0
strategic inquiry,0
design methodology approach thematic,0
technologies grasping,0
advantages obstacles essential industry,0
privacy concerns,0
evolution technologies,0
robots facial emotion recognition,0
culinary practices advocating,0
francis group,0
uk limited,0
field study supported,0
testing conducted,0
based research model designed,0
issue providing important insights automation,0
leads employee voicing,0
theoretical practical,0
informatics university,0
university leipzig,0
2020 institute,0
interdisciplinary stance integrates insights tourism,0
findings elaborated,0
developing interpretive,0
psychological model individual level,0
rule transparency,0
studies demonstrated,0
studies demonstrated ehmis,0
attention paid,0
practitioners overarching,0
guidelines practitioners,0
future research,0
interactivity framework,0
953 responses,0
scenario based experiment,0
intervene world engage directed experimentation,0
implications argument understanding origins novelty,0
interaction roles robots play home,0
cognitive models potential,0
2020 taylor,0
francis group,0
derive benefits,0
groups prepared felt justify,0
using size fits model,0
measured participants resource sharing,0
modeling individual,0
40 participants asked coordinate ai,0
agent resource management task,0
designing effective risk mitigation interventions,0
adverse biases people interacting automated,0
automated technology unclear effects observed,0
hypotheses tested,0
data belief asymmetries,0
automation artificial intelligence,0
problems decades old analogy,0
generate genuine novelty new knowledge,0
empirical findings reveal anticipatory,0
effective communicating av intent yield,0
following failure,0
propose ethnographic approach iterative,0
speculative scenarios demonstrate study,0
change aspects lives including,0
foresights based users,0
artificial intelligence,0
knowledge people past,0
ad research commonly undertaken,0
undergo automation near future calling,0
