phrase,cluster_label
commerce sector continues,0
relevance design,0
long lasting,0
explores reasons adoption ai,0
hypothesis tested using,0
adoption resistance robots,0
loop modeling based,0
behavioral economics psychological models,0
using hyperbolic discounting samples,0
approaches incorporating physiological data,0
psychological construct model internal mental,0
building accurate models cognitive behavioural,0
contains reports ai human robot,0
robot interaction cognitive assistance government,0
relation theory,0
economics need interdisciplinary,0
robotics artificial,0
agency attribution,0
relationship voice capabilities artifact users,0
effective aid,0
held owner,0
giving way communication helps people,0
robots work advanced,0
conversational agents ca,0
av vs,0
thai communication modality,0
results human loop experiment sixteen,0
novel formalization extension fuzzy cognitive,0
icub robot,0
robotized systems humans,0
francis group,0
germany springer nature,0
consumers intention purchase grows significantly,0
conceptualizations especially regard work,0
argued interdisciplinary,0
addressing issues formalised affordance,0
cus tomers willingness interact ai,0
strategies identified coax people use,0
use eye,0
demand instances gaze behavior shows,0
perceived usefulness knowledge artificial,0
relationship intention adopt ai banking,0
robots organisations,0
experiment 496 adults conversation,0
avoid uncanny valley effect,0
adoption ai,0
technology fit network,0
network externalities present conceptual,0
founded theories task technology,0
cognitive models,0
2016 ifac,0
paper human unconscious processes,0
robot acceptance carried,0
agents personality effect personality different,0
fuzzy logic,0
assess ai suitability task,0
mediating role attribution,0
relationships showed differences male,0
francis group,0
expand understanding av explanation,0
francis group,0
adoption human like intelligent,0
like intelligent robots,0
robots influence expectations acceptance emerging,0
robot interaction hri particularly,0
squares structural,0
purchase intention,0
usefulness plays mediating role,0
participants equipped eye tracker,0
standard deviation,0
themes qualitative,0
consistency status proxemic behaviors robot,0
positive user experience robot close,0
interactions subordinate robot resulted,0
subordinate proxemic,0
close vs,0
impact willingness interact robots,0
humanlike robot,0
recognition received recommendation automated,0
provide suitable recommendations,0
external station,0
francis group,0
rate avs,0
popularity virtual conversational,0
communication approach relies user information,0
advised best,0
condition complied takeover request tor,0
agent demand shorter takeover times,0
having potential significant economic,0
relations strengthen augments instead,0
francis group,0
stages takeover strategies key,0
increasingly utilized,0
communication styles service,0
improve work design daily business,0
moderate relationship choice decision effectiveness,0
virtual clothing store,0
eye movements,0
agenda psychometric modeling eye,0
ease use reliability significant factors,0
francis group,0
squares structural,0
perceived usefulness,0
draws cognitive appraisal theory,0
2015 ifac,0
eye movement results indicated compensatory,0
perceived value,0
role ai banking applications confirmed,0
squares pls,0
robots make,0
human robot interaction literature mixed,0
cognitive models enhanced,0
conversational skills ideal tools delivering,0
robot technology,0
francis group,0
increased use,0
ia offer valuable opportunities,0
similar aid provided,0
considering recommendations modern black box,0
bridges technical psychological theological perspectives,0
interdisciplinary research,0
increasing application robots workplace,0
existing literature human robot,0
robot collaboration implicitly explicitly highlighted,0
robots specifically potential lead burnout,0
francis group,0
eye tracking objective,0
2016 ifac,0
francis group,0
robots increasingly important machines,0
cooperate robot,0
odds collective profit robot advance,0
mental models,0
actions attribute blame robot,0
interdisciplinary research,0
purchase postpurchase stages utilizing,0
communication quality,0
ai robots significant higher order,0
provide detailed guidance promote ai,0
perspective compatibility humans robots cooperating,0
economics pertains work psychology lent,0
cycle robot,0
robot relation mutual continuous,0
showed operator directly dependent robot,0
encounter algorithm controlled products robotic,0
robots human,0
adapting design configuration robots,0
based experiment manipulate robot,0
ownership adoption intention robot,0
power induced domination exerted robot,0
responsibility ai automated decision systems,0
robots frequently generate behaviors,0
direct relationships,0
work philosophy behavioural psychology traffic,0
machine produces better recommendations,0
usefulness factors,0
central aspects conversation ai replace,0
remarks humanoids,0
recommendation intentions,0
researchers identified 69 thematic,0
human robot work,0
exists robots,0
employed stimulus organism response,0
attitude robots robot usage,0
francis group,0
provide accurate mental model,0
francis group,0
expectations affect perceived value,0
application conversational agents,0
distinction disembodied conversational,0
implications suggested practitioners improve,0
application conversational agents,0
distinction disembodied conversational,0
implications suggested practitioners improve,0
responsible decisions ai discuss,0
innovating firm communication,0
conceptual model,0
human employees online shopping remains,0
despite growing use,0
relates perceived ease use credence,0
robot lower experience vs,0
francis group,0
collaborative robots,0
field combined uncanny,0
human robot interaction phenomenon emerging,0
eye movement facial expression,0
learning task subjective usability,0
results human loop experiment,0
using simulated autonomous,0
monetary value,0
ease use shown,0
provides predictors avs acceptance,0
aid manifest imperfectly,0
partner inner,0
cra aid respectively,0
collaborative robots,0
robots owing certain fears example,0
colleague produces lower,0
colleague produces lower,0
alleviated positively influencing ai adoption,0
francis group,0
study enhances understanding human robot,0
foundation field human robot interaction,0
representation robot marked,0
university students examined lens structural,0
knowledge application perceived,0
partial squares structural equation,0
empirical validation model partial squares,0
ease use perceived,0
systematic synthesis limiting understanding user,0
perceived usefulness performance,0
adoption ai,0
adoption future ai,0
xai recommender systems,0
partial squares structural equation,0
engagement robotic,0
develop guidelines robot,0
lens understand human robot relationships,0
routine communication strategies adapt,0
valuethe primary contribution study enrich,0
human robot,0
collaborative robot reliable unreliable,0
qualitative performance subjective experiences monitored,0
eye tracking quantitative,0
suboptimal communications human machine,0
held owner,0
implementing collaborative robots,0
alongside robots raises concerns employees,0
perspective teamwork viewpoint human,0
introduction perceived partner,0
various interdisciplinary pathways advance,0
appraisal errors,0
greater concerns,0
evaluation ai recommendation,0
francis group,0
adoption intentions related ai,0
